NAME,FIPS,clim_div
Siskiyou,6093,1
Del Norte,6015,1
Modoc,6049,2
Humboldt,6023,1
Trinity,6105,1
Shasta,6089,2
Lassen,6035,3
Tehama,6103,2
Plumas,6063,2
Butte,6007,2
Mendocino,6045,1
Glenn,6021,2
Sierra,6091,2
Yuba,6115,2
Lake,6033,2
Nevada,6057,2
Colusa,6011,2
Placer,6061,2
Sutter,6101,2
El Dorado,6017,2
Yolo,6113,2
Alpine,6003,3
Napa,6055,1
Sonoma,6097,1
Sacramento,6067,2
Mono,6051,3
Amador,6005,5
Calaveras,6009,5
Tuolumne,6109,5
Marin,6041,1
San Joaquin,6077,5
Solano,6095,2
Contra Costa,6013,4
Stanislaus,6099,5
Alameda,6001,4
Mariposa,6043,5
San Francisco,6075,4
Madera,6039,5
San Mateo,6081,4
Merced,6047,5
Fresno,6019,5
Santa Clara,6085,4
Inyo,6027,7
Santa Cruz,6087,4
San Benito,6069,4
Monterey,6053,4
Tulare,6107,5
Kings,6031,5
Kern,6029,5
San Bernardino,6071,7
San Luis Obispo,6079,4
Ventura,6111,6
Riverside,6065,7
Santa Barbara,6083,6
Orange,6059,6
San Diego,6073,6
Los Angeles,6037,6
Imperial,6025,7