quantity,value.0.898796846909141,value.83.7,value.estInd_10.02,value.estInd_20.98,value.estCumul_10.02,value.estCumul_20.98,value.estInd_10.02.1,value.estInd_20.98.1,value.estCumul_10.02_kpsc,value.estCumul_10.02_sutter,value.estCumul_10.02_iceQ1,value.estCumul_10.02_iceQ234,value.estInd_20.98_fal,value.estInd_20.98_spr
a.1.percentfemale,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
a.2.winningQAIC,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
b.1.EEper05toMeanInd0,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
b.2.EEmeanto95Ind0,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
b.3.EEper05toMeanCumul14,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
b.4.EEmeanto95Cumul14,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
b.5.EEfig2caption1,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
b.6.EEfig2caption2,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
c.1.EEper05toMeanInd14kpsc,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
c.2.EEper05toMeanInd14Sutter,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
c.3.EEper05toMeanInd14iceQ1,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
c.4.EEper05toMeanInd14iceQ234,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
d.a.eeFall,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
d.b.eeSpring,0.8987968469091412,83.7,"-0.7 (-2.8,  1.3)","-1.0 (-3.1,  1.1)"," 4.2 (-1.4, 10.2)"," 0.5 (-4.9,  6.2)","-0.3 (-1.7,  1.1)","-0.7 (-2.2,  0.7)"," 2.2 ( -4.2,  8.9)","12.7 (  0.1, 27.0)"," 5.2 ( -0.9, 11.7)"," 2.7 ( -1.9,  7.5)"," -2.7 (-17.1,  14.3)"," -8.2 (-14.5,  -1.5)"
